vendor_name,invoice_count,status,tranche
Waste Connections,15609,COMPLETE,1
Anytime Waste,3226,COMPLETE,1
Republic Services,2811,COMPLETE,1
Waste Management,2439,COMPLETE,1
GFL,2435,COMPLETE,1
Rumpke,1474,COMPLETE,1
Waste Pro,1234,COMPLETE,1
Cockey's Enterprises,1148,COMPLETE,1
Universal Waste,1044,COMPLETE,1
Robinson Waste,947,COMPLETE,1
Standard Waste,764,COMPLETE,1
Hamilton Alliance,730,COMPLETE,1
Active Waste,603,COMPLETE,1
Casella,532,COMPLETE,1
Boren Brothers,531,COMPLETE,1
Priority Waste,528,COMPLETE,2
Aspen Waste,498,COMPLETE,2
Meridian Waste,469,COMPLETE,2
Best Cleaner,464,COMPLETE,2
Frontier Waste,411,COMPLETE,2
FCC Environmental,389,COMPLETE,2
SmartTrash,376,COMPLETE,2
Fusion Waste,353,COMPLETE,2
LRS,332,COMPLETE,2
Coastal Waste,330,COMPLETE,2
Flood Brothers,326,COMPLETE,2
Alaska Waste,307,COMPLETE,2
Eagle Disposal,295,COMPLETE,2
Papillion Sanitation,287,COMPLETE,2
Ware Disposal,285,COMPLETE,2
Murreys Disposal,282,COMPLETE,2
Lawrence Waste,278,COMPLETE,2
Capital Waste,277,COMPLETE,2
American Disposal,274,COMPLETE,2
Burrtec,272,COMPLETE,2
Friedman Recycling,265,COMPLETE,2
Navajo Sanitation,263,COMPLETE,2
Waste Zero,262,COMPLETE,2
Novak Sanitary,258,COMPLETE,2
Liberty Waste,253,COMPLETE,2
Win Waste,248,COMPLETE,2
Best Way Disposal,244,COMPLETE,2
EcoSouth,229,COMPLETE,2
Athens Services,223,COMPLETE,2
Compactor Rentals of America,221,COMPLETE,2
Tower Compactor,197,COMPLETE,3
American Recycling,194,COMPLETE,3
Homewood Disposal,193,COMPLETE,3
CR&R,181,COMPLETE,3
Kimble,180,COMPLETE,3
Harter's,179,COMPLETE,3
Redbox+,176,COMPLETE,3
CRI Curbside,174,COMPLETE,3
Delta Waste,171,COMPLETE,3
Rocky Ridge,166,COMPLETE,3
SBC Waste,157,COMPLETE,3
Interstate Waste,157,COMPLETE,3
National Equipment Solutions,154,COMPLETE,3
EL Harvey,153,COMPLETE,3
Walters Recycling,147,COMPLETE,3
Specific Waste,146,COMPLETE,3
Wasatch Waste,145,COMPLETE,3
Empire Waste,143,COMPLETE,3
