vendor_name,invoice_count,charge_naming_pattern,equipment_in_description,equipment_size_format,equipment_type_format,material_in_description,material_labels,frequency_format,unit_of_measure,line_item_structure,surcharge_types,notes
Waste Connections,15609,"[Size] [Unit] [Freq] [#] (e.g. '8 Yd 3X Wk 1', '1-3YD REC 2 X WEEKLY')",Yes,"X Yd, X GL, XYD","Implicit - YD=yard/FEL, GL=gallon/cart",Sometimes,"REC (recycling), CONT (container/trash)","3X Wk, 1X WK, 2 X WEEKLY",Each,"Date | Description | Amount","FUEL & MATERIAL SURCHARGE, PORTLAND CLEAN ENERGY SURCHARGE",Multiple regional subsidiaries with similar format
Anytime Waste,3226,"[Action] [Material] + [Equipment Size] (e.g. 'Disposal Fees Trash', 'Switch Out 20 YD Roll Off')",Yes,XX YD,"Roll Off, Compactor",Yes,"Trash, Cardboard","N/A - on-call/event based","per ton, per unit","DATE | WO # | PO # | DESCRIPTION | QTY | UNIT RATE | TOTAL",None observed,Clear separation of haul vs disposal charges
Republic Services,2811,"[Service Type] [Date Range] (e.g. 'Pickup Service 10/01-10/31', 'Gate Charge')",Yes,"X Cu Yd, XX/XX Gal","Container, Compactor, Cart",Yes,"Waste, Mixed Organics, Recycle","X Lift Per Week, On Call Service",Per lift/per unit,"Description | Reference | Quantity | Unit Price | Amount","Hazardous Waste Fee, Gate Charge, Pull-Out Charge, Unlock/Lock Fee",Date ranges embedded in charge descriptions
Waste Management,2439,"[Action] [Size] [Unit] [Material] [Type] [Freq] (e.g. 'Pickup 1 Yards Trash DMP Weekly x1')",Yes,"X Yards, XX Gallons","DMP, TOT (codes for container types)",Yes,Trash - explicit,"Weekly x1, Weekly x2, Monthly",Unit price per period,"LOCATION ID | SERVICE DATE | SERVICE DESCRIPTION | UNIT PRICE | MATERIAL | QUANTITY | TAX | AMOUNT","Utility Tax, Container Service Charge, Pickup Increase",Complex multi-column format with SCode references
GFL,2435,"[Equipment Code] [Material] [Service Type] (e.g. 'COMM FL WASTE PERM 8YD', '02 CY FRONT LOAD SVC MSW')",Yes,"XYD, XX CY","FL (Front Load), FRONT LOAD SVC",Yes,"WASTE, TRASH, MSW","Date ranges (Aug 01/25 - Aug 31/25), Every 2 weeks",Per period,"DATE | DESCRIPTION | REFERENCE | RATE | QTY | AMOUNT",FUEL SURCHARGE,Uses service ID codes like 'Serv #006'
Rumpke,1474,"[Size][Type]/[Billing]-[Material] (e.g. '8YD FL/MONTH-MSW', '20YD RO/LOAD-C&D')",Yes,"XYD (8YD, 20YD, 40YD)","FL (Front Load), RO (Roll Off)",Yes,"MSW, COM MIX, C&D, STEEL, RECY","MONTH, per event",Per month or per ton,"Date | Description | Unit | Total","FUEL SURCHARGE FL, FUEL SURCHARGE RO, FUEL SURCHARGE RO RECY, STATE TAX",Compact naming convention with embedded metadata
Waste Pro,1234,"[EQUIPMENT TYPE] [SIZE] - [MATERIAL] SERVICE (e.g. 'FRONTLOAD 4 YD - SOLID WASTE SERVICE')",Yes,"XX YD, XX Gal","ROLLOFF, FRONTLOAD, Toter",Yes,"Solid Waste, RECYCLE","Xx per week (separate column)",Per period,"Dates | Description | Svc Freq | Qty | Charge","DISPOSAL FEE, HAUL FEE",Frequency shown in separate column
Cockey's Enterprises,1148,"[Type]-Comm-[Material]-[Size] (e.g. 'FL-Comm-Recycling-08yd', 'RO Haul Charge - Open Top')",Yes,"XXyd (08yd)","FL (Front Load), RO (Roll Off), Open Top",Yes,"Recycling, Trash",Date ranges,"per unit, per Ton","DATE | WO # | PO # | DESCRIPTION | QTY | UNIT RATE | TOTAL","RODisposal Charge",Consistent hyphenated naming format
Universal Waste,1044,"[Size] [Type] [Material] (e.g. '6YD FL Trash', 'Lock')",Yes,"XYD (6YD, 3YD)",FL (Front Load),Yes,Trash,Date ranges implicitly monthly,Per period,"Date | Qty | Description | Reference | Charges | Credits | Fees | Extended",Lock fee,Very simple compact format
Robinson Waste,947,"Serv #XXX [Type] [Material] - Permanent X - [Size] (e.g. 'Serv #001 Front Load Trash - Permanent 1 - 3YD')",Yes,"XYD (2YD, 3YD)",Front Load,Yes,Trash,Monthly implied,Per period,"DATE | DESCRIPTION | REFERENCE | QTY. | RATE | AMOUNT",Container Service Fee,Service number prefix format
