md5_hash,source_file,detected_vendor
00092d78b4f1538feadd11d38639b050,gs://invoice_inference_json_output/00092d78b4f1538feadd11d38639b050,Hamilton Alliance
00074b8ec85c165293d77e2aff5dc121,gs://invoice_inference_json_output/00074b8ec85c165293d77e2aff5dc121,Frontier Waste
00046564f2751885b01d95082d46d83a,gs://invoice_inference_json_output/00046564f2751885b01d95082d46d83a,Waste Connections
0003144b85ddc923cfd27904d27ed3c8,gs://invoice_inference_json_output/0003144b85ddc923cfd27904d27ed3c8,Green Guys
0001a50ea4b2b9e1aad42043d4a49e5d,gs://invoice_inference_json_output/0001a50ea4b2b9e1aad42043d4a49e5d,Waste Connections
00054b206bccc8994e72cf74d1eb6385,gs://invoice_inference_json_output/00054b206bccc8994e72cf74d1eb6385,Mountain State Waste
00034f0e09401271ab090dbfb2736548,gs://invoice_inference_json_output/00034f0e09401271ab090dbfb2736548,Flood Brothers
00067bc01d365c5bd073fd0eb7f5d1b9,gs://invoice_inference_json_output/00067bc01d365c5bd073fd0eb7f5d1b9,Detroit Disposal
00040fd12c1e72a88d4c365814488c6e,gs://invoice_inference_json_output/00040fd12c1e72a88d4c365814488c6e,Waste Management
000a1e09d1719be3c9b33a7265968180,gs://invoice_inference_json_output/000a1e09d1719be3c9b33a7265968180,Waste Connections
0000df41c0c72eb2b7ce41749b1d2c09,gs://invoice_inference_json_output/0000df41c0c72eb2b7ce41749b1d2c09,Waste Connections
000d51a0b0881251fbb289f9997bacc3,gs://invoice_inference_json_output/000d51a0b0881251fbb289f9997bacc3,Five Star Waste
000d045ae3f22490977d3e91ffdcdcf8,gs://invoice_inference_json_output/000d045ae3f22490977d3e91ffdcdcf8,Robinson Waste
000c7871364239fde6193464d39faf00,gs://invoice_inference_json_output/000c7871364239fde6193464d39faf00,Waste Connections
000b87ee272e4c6bfdc6915ed05a62b2,gs://invoice_inference_json_output/000b87ee272e4c6bfdc6915ed05a62b2,Republic Services
000e8127b0d7ebf10d81d3e99da46a78,gs://invoice_inference_json_output/000e8127b0d7ebf10d81d3e99da46a78,Cockey's Enterprises
0011296ffc8e2f74b7617a228fde5bad,gs://invoice_inference_json_output/0011296ffc8e2f74b7617a228fde5bad,North Georgia Waste
